Batch Name,Duration,Start Date,End Date,Time,Fees
IIT-08-H-A-MERN,1 Month,10-Dec-2025,05-Jan-2026,8:00 AM  To  4:00 PM,4000/-/-
IIT-08-H-A-Android,1 Month,10-Dec-2025,05-Jan-2026,8:00 AM  To  4:00 PM,4000/-
IIT-08-H-A-Internet of Things,1 Month,10-Dec-2025,05-Jan-2026,8:00 AM  To  4:00 PM,4000/-
IIT-08-H-A-ARM Micro-controller,1 Month,10-Dec-2025,05-Jan-2026,8:00 AM  To  4:00 PM,4000/-
IIT-08-H-A-Generative AI,1 Month,10-Dec-2025,05-Jan-2026,8:00 AM  To  4:00 PM,4000/-
IIT-08-H-A-Java Programming,1 Month,10-Dec-2025,05-Jan-2026,8:00 AM  To  4:00 PM,4000/-
IIT-08-H-A-.net,1 Month,10-Dec-2025,05-Jan-2026,8:00 AM  To  4:00 PM,4000/-
IIT-08-H-A-Web Programming using Python,1 Month,10-Dec-2025,05-Jan-2026,8:00 AM  To  4:00 PM,4000/-
IIT-08-H-A-Data Science (ML),1 Month,10-Dec-2025,05-Jan-2026,8:00 AM  To  4:00 PM,4000/-
IIT-08-H-A-Cyber Security,1 Month,10-Dec-2025,05-Jan-2026,8:00 AM  To  4:00 PM,4000/-
